Entity,Code,years_covered,first_year,last_year,start_expenditure,end_expenditure,avg_expenditure,median_expenditure,min_expenditure,max_expenditure,expenditure_std,absolute_growth,growth_rate_percent,expenditure_slope,cluster
Argentina,ARG,27,1995,2021,5828976000.0,1366000000.0,6325263618.518518,6191619600.0,1366000000.0,12577916000.0,2486997598.13208,-4462976000.0,-76.56535213045996,78063951.89255288,0
Australia,AUS,27,1995,2021,9184461000.0,972000000.0,21146851566.666668,16851627000.0,972000000.0,39876040000.0,12298246851.155766,-8212461000.0,-89.41690753545582,943178157.8754561,0
Austria,AUT,27,1995,2021,19359386000.0,7351000000.0,12539384755.555555,12699408000.0,4694651400.0,19359386000.0,3003100697.909723,-12008386000.0,-62.028754424339695,-236034790.10989037,0
Belgium,BEL,27,1995,2021,14430183000.0,14624001000.0,18918495333.333332,17985274000.0,13327626000.0,27264526000.0,4291086052.8264093,193818000.0,1.3431430495372096,178117593.40659285,0
Brazil,BRA,27,1995,2021,6029914000.0,5250000000.0,12857512203.703703,9147866000.0,3330442200.0,29264155000.0,8210870695.626512,-779914000.0,-12.934081646935594,587518402.5640986,0
Bulgaria,BGR,27,1995,2021,346751170.0,1287000000.0,1384051061.1111112,1287000000.0,343786900.0,2908517400.0,631977076.7900373,940248830.0,271.1595262966236,36683155.51892568,0
Canada,CAN,27,1995,2021,18244446000.0,7666000400.0,28098769422.22222,27711025000.0,7666000400.0,44068033000.0,10500300846.100922,-10578445600.0,-57.981730988159356,644554116.7277166,0
Chile,CHL,27,1995,2021,1250082400.0,301000000.0,1578613663.3333333,1401592300.0,301000000.0,2606279200.0,626738712.6772189,-949082400.0,-75.92158724896855,34019108.86446891,0
Colombia,COL,27,1995,2021,1561269400.0,2626000000.0,2966062829.6296296,2488281900.0,1421796900.0,5360192000.0,1376664909.6223078,1064730600.0,68.19646884772096,126771483.08913238,0
Costa Rica,CRI,27,1995,2021,574362200.0,566000000.0,649522907.4074074,580464300.0,254415780.0,1154099600.0,195865153.6544274,-8362200.0,-1.4559105735022255,5544598.113553239,0
Croatia,HRV,27,1995,2021,750405100.0,1102000000.0,1119541580.0,1050346600.0,750405100.0,1869653000.0,270105750.6576428,351594900.0,46.85401258600188,15262244.32234446,0
Cyprus,CYP,27,1995,2021,586337860.0,882000060.0,1212537245.925926,1264487700.0,586337860.0,2096750200.0,459162819.9248097,295662200.0,50.425227530079674,33389604.13919415,0
Czechia,CZE,27,1995,2021,2907375400.0,3231000000.0,4365159085.185185,4924289000.0,2007882600.0,6444393500.0,1415959473.655658,323624600.0,11.131159739468114,109688818.0708175,0
Democratic Republic of Congo,COD,17,2005,2021,74925710.0,219000000.0,164475722.70588234,145192780.0,67740420.0,358981440.0,78623058.26615295,144074290.0,192.28952251503523,1107896.0147056635,0
Denmark,DNK,27,1995,2021,7624969700.0,7468000000.0,9659730011.11111,10195505000.0,5900771000.0,12205452000.0,1861007759.3511367,-156969700.0,-2.0586271969054515,103926295.05494535,0
Estonia,EST,27,1995,2021,161817220.0,680000000.0,772858117.037037,764141800.0,161817220.0,1637536100.0,439036410.1288814,518182780.0,320.22721685615414,46825794.02930381,0
Finland,FIN,27,1995,2021,4050765300.0,1377000000.0,4534615214.814815,4602374700.0,1377000000.0,6552304000.0,1425561668.0109081,-2673765300.0,-66.00642352693205,67343543.58974358,0
France,FRA,27,1995,2021,29087977000.0,34648000000.0,42573790555.55556,43494370000.0,29062031000.0,55830467000.0,8301705744.862144,5560023000.0,19.114505625468556,597368056.1660591,0
Germany,DEU,27,1995,2021,107155005000.0,47815004000.0,93724923444.44444,98672950000.0,40572520000.0,115335110000.0,16469291322.621614,-59340001000.0,-55.377722207189485,-558914161.782655,1
Greece,GRC,27,1995,2021,2352573400.0,1306000000.0,3513569157.4074073,3253874700.0,940186750.0,7172358000.0,1453849902.408612,-1046573400.0,-44.48632293470631,-81303228.75457624,0
Hungary,HUN,27,1995,2021,2663760100.0,1445000000.0,2724399992.5925927,2663760100.0,1213448200.0,4058835500.0,620411383.5295063,-1218760100.0,-45.75337321104855,-27809407.326006357,0
Iceland,ISL,27,1995,2021,501455550.0,756000000.0,993813931.4814814,908295360.0,501455550.0,1824760600.0,409545606.1938869,254544450.0,50.761119305589496,27522725.98901098,0
India,IND,27,1995,2021,1771098400.0,14280000000.0,10908428862.962963,11758943000.0,1577273700.0,24287472000.0,6575713433.674458,12508901600.0,706.2793123182767,779965113.85836,0
Indonesia,IDN,27,1995,2021,3862274800.0,470999970.0,6197091895.185185,5416930300.0,470999970.0,11985282000.0,2645530449.735763,-3391274830.0,-87.80511500631701,158367364.90232062,0
Ireland,IRL,27,1995,2021,3616881700.0,2524000000.0,6742440570.37037,7038229000.0,2524000000.0,13110353000.0,2574258486.902111,-1092881700.0,-30.216130651992295,79683305.43345709,0
